Table 26,,,,,
Full-time Law Enforcement Employees,,,,,
"by State by City, 2016",,,,,
State,City,Population,"Total law
enforcement
employees","Total 
officers","Total 
civilians"
,Albany,"2,661",5,4,1
,Albert Lea,"17,604",29,27,2
,Alexandria,"12,006",27,23,4
,Annandale,"3,317",5,5,0
,Anoka,"17,389",38,28,10
,Appleton,"1,328",3,3,0
,Apple Valley,"51,648",60,52,8
,Arlington,"2,157",3,2,1
,Ashby,428,1,1,0
,Atwater,"1,122",2,2,0
,Austin,"24,529",36,33,3
,Avon,"1,481",4,3,1
,Babbitt,"1,528",4,4,0
,Barnesville,"2,581",5,5,0
,Baudette,"1,055",2,2,0
,Baxter,"7,993",15,14,1
,Bayport,"3,763",5,5,0
,Becker,"4,730",7,6,1
,Belgrade/Brooten,"1,504",2,2,0
,Belle Plaine,"6,968",11,9,2
,Bemidji,"14,690",35,33,2
,Benson,"3,045",8,7,1
,Big Lake,"10,421",14,12,2
,Blackduck,778,2,2,0
,Blaine,"63,115",70,59,11
,Blooming Prairie,"1,993",3,3,0
,Bloomington,"87,134",148,118,30
,Blue Earth,"3,216",5,5,0
,Bovey,813,2,2,0
,Braham,"1,765",3,3,0
,Brainerd,"13,327",29,23,6
,Breckenridge,"3,270",6,6,0
,Breezy Point,"2,356",7,6,1
,Breitung Township,607,2,2,0
,Brooklyn Center,"30,893",60,48,12
,Brooklyn Park,"79,800",133,103,30
,Brownton,734,1,1,0
,Buffalo,"16,134",21,18,3
,Buffalo Lake,682,2,2,0
,Burnsville,"61,697",83,74,9
,Caledonia,"2,772",5,4,1
,Cambridge,"8,515",16,15,1
,Canby,"1,693",3,3,0
,Cannon Falls,"4,057",10,8,2
,Centennial Lakes,"10,937",18,16,2
,Champlin,"24,048",31,26,5
,Chaska,"25,483",28,25,3
,Chisholm,"4,983",13,12,1
,Clara City,"1,312",2,2,0
,Cloquet,"12,064",24,22,2
,Cold Spring/Richmond,"5,547",10,9,1
,Coleraine,"2,005",2,2,0
,Columbia Heights,"19,754",32,26,6
,Coon Rapids,"62,380",70,63,7
,Corcoran,"5,586",9,8,1
,Cottage Grove,"36,164",48,41,7
,Crookston,"7,765",17,15,2
,Crosby,"2,336",7,7,0
,Crosslake,"2,222",5,5,0
,Crystal,"23,102",35,31,4
,Danube,463,1,1,0
,Dawson/Boyd,"1,590",3,3,0
,Dayton,"5,185",7,6,1
,Deephaven,"3,880",8,7,1
,Deer River,934,4,4,0
,Detroit Lakes,"9,075",17,15,2
,Dilworth,"4,437",7,6,1
,Duluth,"86,090",183,149,34
,Eagan,"66,698",83,70,13
,Eagle Lake,"2,933",2,2,0
,East Grand Forks,"8,649",25,23,2
,East Range,"3,665",8,8,0
,Eden Prairie,"64,037",93,67,26
,Eden Valley,"1,035",1,1,0
,Edina,"50,577",72,51,21
,Elbow Lake,"1,138",2,2,0
,Elko New Market,"4,831",4,4,0
,Elk River,"24,150",42,32,10
,Elmore,632,1,1,0
,Ely,"3,398",8,7,1
,Eveleth,"3,665",11,10,1
,Fairfax,"1,160",2,2,0
,Fairmont,"10,137",19,16,3
,Faribault,"23,708",41,34,7
,Farmington,"23,060",27,24,3
,Fergus Falls,"13,312",28,23,5
,Floodwood,521,4,3,1
,Forest Lake,"19,867",27,25,2
,Fountain,408,1,1,0
,Fridley,"27,811",45,41,4
,Fulda,"1,229",2,2,0
,Gaylord,"2,233",4,4,0
,Gilbert,"1,791",7,7,0
,Glencoe,"5,495",9,8,1
,Glenwood,"2,571",6,5,1
,Golden Valley,"21,454",41,31,10
,Goodview,"4,168",5,4,1
,Grand Rapids,"11,181",23,20,3
,Granite Falls,"2,719",6,5,1
,Hallock,948,1,1,0
,Hastings,"22,627",32,28,4
,Hawley,"2,203",4,4,0
,Hector,"1,062",2,2,0
,Hermantown,"9,761",19,16,3
,Hibbing,"16,176",29,26,3
,Hill City,594,1,1,0
,Hokah,556,1,1,0
,Hopkins,"18,169",36,27,9
,Houston,964,2,2,0
,Howard Lake,"2,052",3,3,0
,Hutchinson,"13,867",34,22,12
,International Falls,"6,107",12,11,1
,Inver Grove Heights,"35,049",44,39,5
,Isanti,"5,493",10,9,1
,Isle,790,3,3,0
,Janesville,"2,253",3,3,0
,Jordan,"6,203",11,9,2
,Kasson,"6,157",9,8,1
,Keewatin,"1,046",2,2,0
,Kimball,777,3,3,0
,La Crescent,"4,820",8,7,1
,Lake City,"5,021",11,10,1
,Lake Crystal,"2,522",3,3,0
,Lakefield,"1,648",3,3,0
,Lakes Area,"9,322",15,13,2
,Lake Shore,"1,026",2,2,0
,Lakeville,"61,581",64,55,9
,Lamberton,785,1,1,0
,Lester Prairie,"1,678",3,3,0
,Le Sueur,"3,988",8,7,1
,Lewiston,"1,562",2,2,0
,Lino Lakes,"21,212",30,27,3
,Litchfield,"6,643",10,9,1
,Little Falls,"8,611",16,14,2
,Long Prairie,"3,325",6,6,0
,Lonsdale,"3,873",9,8,1
,Madelia,"2,240",4,4,0
,Madison Lake,"1,110",2,2,0
,Mankato,"41,300",65,56,9
,Maple Grove,"69,783",79,66,13
,Mapleton,"1,726",3,3,0
,Maplewood,"41,071",55,50,5
,Marshall,"13,645",25,21,4
,Medina,"6,216",11,10,1
,Melrose,"3,620",5,4,1
,Menahga,"1,346",3,3,0
,Mendota Heights,"11,252",18,17,1
,Milaca,"2,871",5,4,1
,Minneapolis,"416,751","1,018",847,171
,Minneota,"1,357",1,1,0
,Minnesota Lake,654,1,1,0
,Minnetonka,"52,055",69,52,17
,Minnetrista,"9,675",15,13,2
,Montevideo,"5,184",11,10,1
,Montgomery,"2,907",5,4,1
,Moorhead,"42,507",72,56,16
,Moose Lake,"2,747",5,4,1
,Morris,"5,367",10,8,2
,Mounds View,"13,063",20,18,2
,Mountain Lake,"2,119",4,4,0
,Nashwauk,965,3,3,0
,New Brighton,"22,521",33,28,5
,New Hope,"21,168",43,34,9
,New Prague,"7,631",12,10,2
,New Richland,"1,185",1,1,0
,New Ulm,"13,293",25,22,3
,North Branch,"10,233",13,11,2
,Northfield,"20,445",27,22,5
,North Mankato,"13,553",15,14,1
,North St. Paul,"12,495",19,17,2
,Oakdale,"28,211",38,32,6
,Oak Park Heights,"4,912",11,10,1
,Olivia,"2,333",4,4,0
,Onamia,861,3,3,0
,Orono,"19,799",31,27,4
,Ortonville,"1,796",4,4,0
,Osakis,"1,715",3,3,0
,Osseo,"2,817",6,5,1
,Ostrander,254,1,1,0
,Owatonna,"25,760",39,36,3
,Park Rapids,"3,963",10,9,1
,Paynesville,"2,434",5,5,0
,Pequot Lakes,"2,259",6,5,1
,Pike Bay,"1,635",3,3,0
,Pine River,923,3,3,0
,Plainview,"3,217",8,7,1
,Plymouth,"76,996",88,72,16
,Preston,"1,294",3,3,0
,Princeton,"4,668",13,11,2
,Prior Lake,"25,767",28,25,3
,Proctor,"3,070",8,7,1
,Ramsey,"26,273",27,24,3
,Red Wing,"16,442",32,27,5
,Redwood Falls,"5,024",13,11,2
,Renville,"1,199",3,3,0
,Richfield,"36,410",50,42,8
,Robbinsdale,"14,510",28,24,4
,Rochester,"113,306",193,137,56
,Rogers,"12,847",21,18,3
,Roseau,"2,735",6,5,1
,Rosemount,"23,717",25,22,3
,Roseville,"35,954",56,48,8
,Rushford,"1,709",3,3,0
,Sartell,"16,943",21,18,3
,Sauk Centre,"4,367",7,6,1
,Sauk Rapids,"13,545",17,16,1
,Savage,"31,118",40,32,8
,Shakopee,"40,524",56,47,9
,Silver Bay,"1,799",5,5,0
,Silver Lake,807,2,2,0
,Slayton,"2,035",4,4,0
,Sleepy Eye,"3,414",7,7,0
,South Lake Minnetonka,"12,247",16,13,3
,South St. Paul,"20,452",31,28,3
,Springfield,"2,052",5,5,0
,Spring Grove,"1,286",2,2,0
,Spring Lake Park,"6,484",13,11,2
,St. Anthony,"9,150",26,23,3
,Staples,"2,867",7,6,1
,Starbuck,"1,258",4,4,0
,St. Charles,"3,703",5,5,0
,St. Cloud,"67,341",132,105,27
,St. Francis,"7,442",12,10,2
,Stillwater,"19,051",24,20,4
,St. James,"4,441",8,7,1
,St. Joseph,"6,924",9,8,1
,St. Louis Park,"48,770",67,53,14
,St. Paul,"303,920",796,627,169
,St. Paul Park,"5,399",9,9,0
,St. Peter,"11,763",18,13,5
,Thief River Falls,"8,776",18,16,2
,Tracy,"2,108",3,3,0
,Tri-City,"1,425",3,3,0
,Two Harbors,"3,546",9,8,1
,Virginia,"8,564",21,21,0
,Wabasha,"2,437",8,7,1
,Wadena,"4,194",9,8,1
,Waite Park,"7,551",19,16,3
,Walker,925,3,3,0
,Warroad,"1,804",5,4,1
,Waseca,"9,207",18,16,2
,Wayzata,"6,627",14,13,1
,Wells,"2,231",4,4,0
,West Concord,772,1,1,0
,West Hennepin,"5,575",11,9,2
,West St. Paul,"19,762",32,29,3
,Wheaton,"1,351",3,3,0
,White Bear Lake,"25,484",37,28,9
,Willmar,"19,641",36,32,4
,Windom,"4,532",10,9,1
,Winnebago,"1,368",3,3,0
,Winona,"27,001",42,38,4
,Winsted,"2,285",4,4,0
,Woodbury,"69,032",79,67,12
,Worthington,"13,151",34,22,12
,Wyoming,"7,816",11,10,1
,Zumbrota,"3,385",5,5,0
MISSISSIPPI,Aberdeen,"5,358",18,13,5
,Ackerman,"1,472",5,5,0
,Amory,"7,022",28,21,7
,Biloxi,"45,952",177,127,50
,Byhalia,"1,247",13,10,3
,Byram,"11,511",38,27,11
,D'Iberville,"11,795",38,36,2
,Florence,"4,407",23,15,8
,Fulton,"4,101",10,10,0
,Gautier,"18,566",47,36,11
,Gulfport,"72,668",207,153,54
,Hernando,"15,793",43,33,10
,Horn Lake,"27,077",67,50,17
,Jackson,"170,070",641,409,232
,Laurel,"18,894",73,51,22
,Madison,"26,119",86,67,19
,McComb,"12,632",57,33,24
,Meridian,"39,364",102,78,24
,Ocean Springs,"17,688",53,38,15
,Oxford,"23,052",81,68,13
,Pascagoula,"22,091",90,62,28
,Pass Christian,"5,690",23,20,3
,Petal,"10,747",31,26,5
,Picayune,"10,631",50,34,16
,Ridgeland,"24,406",89,62,27
,Summit,"1,677",8,7,1
,Waveland,"6,382",18,18,0
,Wiggins,"4,577",21,16,5
MISSOURI,Adrian,"1,611",3,3,0
,Advance,"1,369",3,3,0
,Anderson,"1,980",6,6,0
,Annapolis,343,1,1,0
,Arbyrd,482,1,1,0
,Archie,"1,205",3,3,0
,Arnold,"21,461",55,48,7
,Ash Grove,"1,465",5,5,0
,Ashland,"3,895",7,6,1
,Aurora,"7,471",24,17,7
,Ava,"2,924",12,7,5
,Ballwin,"30,609",59,48,11
,Bates City,219,1,1,0
,Battlefield,"6,083",8,8,0
,Bella Villa,739,4,4,0
,Bellefontaine Neighbors,"10,788",29,26,3
,Bel-Nor,"1,479",6,6,0
,Bel-Ridge,"2,719",13,12,1
,Belton,"23,170",58,41,17
,Berkeley,"9,063",35,27,8
,Bertrand,786,1,1,0
,Bethany,"3,122",5,5,0
,Billings,"1,092",4,4,0
,Birch Tree,658,1,1,0
,Bismarck,"1,491",3,3,0
,Bloomfield,"1,897",5,5,0
,Blue Springs,"54,445",141,98,43
,Bolivar,"10,790",27,21,6
,Bonne Terre,"7,175",11,11,0
,Boonville,"8,423",27,21,6
,Bourbon,"1,620",4,4,0
,Bowling Green,"5,400",11,8,3
,Branson,"11,593",58,43,15
,Branson West,434,7,7,0
,Braymer,842,1,1,0
,Breckenridge Hills,"4,709",16,15,1
,Brentwood,"8,058",29,27,2
,Bridgeton,"11,835",60,49,11
,Brookfield,"4,324",17,10,7
,Bucklin,442,1,1,0
,Buckner,"3,065",9,8,1
,Buffalo,"3,031",7,6,1
,Butler,"4,067",14,9,5
,Butterfield Village,464,1,1,0
,Cabool,"2,126",11,7,4
,California,"4,415",9,8,1
,Calverton Park,"1,287",7,7,0
,Camdenton,"3,907",18,15,3
,Cameron,"9,817",23,16,7
,Campbell,"1,908",3,3,0
,Canton,"2,391",5,4,1
,Cape Girardeau,"39,738",118,81,37
,Cardwell,682,2,2,0
,Carl Junction,"7,780",16,11,5
,Carrollton,"3,610",8,8,0
,Carterville,"1,843",5,5,0
,Carthage,"14,300",36,27,9
,Caruthersville,"5,887",19,19,0
,Cassville,"3,311",11,11,0
,Center,505,1,1,0
,Centralia,"4,226",14,9,5
,Charleston,"5,797",19,14,5
,Chesterfield,"47,939",100,90,10
,Chillicothe,"9,495",22,14,8
,Claycomo,"1,475",9,9,0
,Clayton,"15,873",57,49,8
,Cleveland,663,2,1,1
,Clever,"2,592",4,4,0
,Clinton,"8,878",23,22,1
,Cole Camp,"1,101",2,2,0
,Columbia,"121,143",182,150,32
,Concordia,"2,378",6,6,0
,Conway,774,1,1,0
,Cottleville,"5,151",12,10,2
,Country Club Village,"2,465",2,2,0
,Crane,"1,337",1,1,0
,Crestwood,"11,977",32,26,6
,Creve Coeur,"18,367",54,48,6
,Crocker,"1,061",4,4,0
,Crystal City,"4,845",22,16,6
,Crystal Lakes,346,2,1,1
,Cuba,"3,380",14,13,1
,Delta,440,1,1,0
,Desloge,"4,916",11,11,0
,De Soto,"6,512",19,14,5
,Des Peres,"8,611",51,40,11
,Dexter,"8,014",23,18,5
,Diamond,930,2,2,0
,Dixon,"1,486",10,6,4
,Doniphan,"1,990",11,8,3
,Doolittle,600,1,1,0
,Drexel,954,2,2,0
,Duenweg,"1,300",3,3,0
,Duquesne,"1,730",10,9,1
,East Prairie,"3,150",9,6,3
,Edina,"1,095",1,1,0
,Edmundson,838,11,10,1
,Eldon,"4,646",15,14,1
,El Dorado Springs,"3,559",12,7,5
,Ellisville,"9,318",24,23,1
,Ellsinore,448,2,2,0
,Elsberry,"1,996",3,3,0
,Essex,457,1,1,0
,Eureka,"10,681",25,21,4
,Excelsior Springs,"11,562",35,24,11
,Exeter,775,1,1,0
,Fair Grove,"1,472",5,5,0
,Fair Play,464,1,1,0
,Farmington,"18,564",34,26,8
,Fayette,"2,705",7,7,0
,Ferguson,"21,032",47,39,8
,Ferrelview,464,1,1,0
,Festus,"12,157",35,25,10
,Florissant,"52,266",108,85,23
,Fordland,818,2,2,0
,Foristell,523,6,6,0
,Forsyth,"2,446",7,6,1
,Fredericktown,"4,097",13,11,2
,Frontenac,"3,872",21,20,1
,Fulton,"12,973",33,27,6
,Gallatin,"1,736",1,1,0
,Garden City,"1,621",4,4,0
,Gerald,"1,313",5,5,0
,Gideon,"1,031",2,2,0
,Gladstone,"27,138",58,43,15
,Glendale,"5,928",14,11,3
,Goodman,"1,230",2,2,0
,Gower,"1,496",3,3,0
,Grain Valley,"13,484",25,21,4
,Granby,"2,127",5,5,0
,Grandview,"25,412",60,51,9
,Greenfield,"1,306",4,4,0
,Greenwood,"5,641",9,9,0
,Hamilton,"1,692",4,4,0
,Hannibal,"17,825",48,37,11
,Hardin,537,1,1,0
,Harrisonville,"9,975",29,21,8
,Hartville,592,2,2,0
,Hayti,"2,759",10,9,1
,Hazelwood,"25,655",78,67,11
,Herculaneum,"4,030",12,11,1
,Hermann,"2,365",12,7,5
,Higginsville,"4,638",15,9,6
,Highlandville,967,2,2,0
,Hillsboro,"3,121",9,7,2
,Hillsdale,"1,520",12,11,1
,Holcomb,602,2,2,0
,Holden,"2,265",6,5,1
,Hollister,"4,515",19,13,6
,Hornersville,630,3,3,0
,Houston,"2,081",6,6,0
,Howardville,364,3,1,2
,Humansville,"1,036",1,1,0
,Huntsville,"1,516",1,1,0
,Iberia,745,3,3,0
,Independence,"117,335",257,184,73
,Indian Point,511,2,2,0
,Iron Mountain Lake,713,1,1,0
,Ironton,"1,379",3,3,0
,Jackson,"15,092",31,23,8
,Jasper,927,10,10,0
,Jefferson City,"43,171",125,88,37
,Jonesburg,722,1,1,0
,Joplin,"52,001",146,102,44
,Kahoka,"2,013",3,3,0
,Kansas City,"478,364","1,875","1,356",519
,Kearney,"9,629",18,17,1
,Kennett,"10,610",30,22,8
,Kimberling City,"2,290",7,6,1
,Kinloch,299,10,4,6
,Kirksville,"17,521",28,25,3
,Kirkwood,"27,793",75,61,14
,Knob Noster,"2,771",12,7,5
,Laddonia,510,1,1,0
,Ladue,"8,612",32,26,6
,La Grange,941,4,4,0
,Lake Lotawana,"2,029",8,6,2
,Lake Ozark,"1,795",17,11,6
,Lakeshire,"1,427",4,4,0
,Lake St. Louis,"15,534",40,31,9
,Lake Tapawingo,723,3,3,0
,Lake Waukomis,908,2,2,0
,Lake Winnebago,"1,146",5,5,0
,Lamar,"4,330",13,11,2
,Lanagan,410,3,3,0
,La Plata,"1,330",3,3,0
,Lathrop,"2,042",10,10,0
,Laurie,929,5,5,0
,Lawson,"2,397",6,5,1
,Leadington,457,5,4,1
,Leadwood,"1,227",5,5,0
,Lebanon,"14,721",41,29,12
,Lee's Summit,"95,821",193,139,54
,Leeton,562,1,1,0
,Lexington,"4,573",10,9,1
,Liberal,714,1,1,0
,Liberty,"30,699",54,40,14
,Licking,"3,113",5,5,0
,Lilbourn,"1,126",2,2,0
,Lincoln,"1,169",3,3,0
,Linn,"1,423",4,4,0
,Linn Creek,244,1,1,0
,Lone Jack,"1,139",6,6,0
,Louisiana,"3,284",11,5,6
,Macon,"5,427",12,10,2
,Malden,"4,092",16,14,2
,Manchester,"18,256",42,39,3
,Mansfield,"1,254",5,5,0
,Maplewood,"7,931",34,31,3
,Marceline,"2,139",8,7,1
,Marionville,"2,181",3,3,0
,Marshall,"13,031",33,26,7
,Marshfield,"7,230",11,10,1
,Marston,472,1,1,0
,Marthasville,"1,155",2,2,0
,Maryland Heights,"27,374",95,78,17
,Maryville,"11,855",24,20,4
,Matthews,628,2,2,0
,Maysville,"1,090",1,1,0
,Memphis,"1,831",3,3,0
,Merriam Woods,"1,764",2,2,0
,Mexico,"11,691",34,32,2
,Milan,"1,831",4,4,0
,Miller,684,8,8,0
,Miner,956,12,7,5
,Moberly,"13,900",38,27,11
,Moline Acres,"2,428",7,6,1
,Monett,"9,006",23,20,3
,Monroe City,"2,432",8,8,0
,Montgomery City,"2,714",5,5,0
,Morehouse,916,2,2,0
,Moscow Mills,"2,585",5,5,0
,Mound City,"1,040",2,2,0
,Mountain Grove,"4,662",14,11,3
,Mountain View,"2,662",8,8,0
,Mount Vernon,"4,531",11,11,0
,Neosho,"12,218",27,25,2
,Nevada,"8,230",23,19,4
,Newburg,448,2,2,0
,New Florence,720,1,1,0
,New Franklin,"1,081",5,4,1
,New Haven,"2,097",7,7,0
,New London,967,1,1,0
,New Madrid,"2,988",8,8,0
,Nixa,"21,377",35,29,6
,Noel,"1,822",3,3,0
,Normandy,"7,618",32,31,1
,North Kansas City,"4,387",45,34,11
,Northwoods,"4,187",20,18,2
,Oak Grove,"7,956",16,15,1
,Oakland,"1,382",75,61,14
,Oakview Village,394,3,3,0
,O'Fallon,"86,093",151,117,34
,Olivette,"7,893",24,22,2
,Oregon,763,1,1,0
,Oronogo,"2,433",5,5,0
,Orrick,804,3,3,0
,Osage Beach,"4,449",37,24,13
,Osceola,909,3,3,0
,Overland,"15,940",58,42,16
,Owensville,"2,616",6,6,0
,Ozark,"19,366",37,33,4
,Pacific,"7,192",25,19,6
,Pagedale,"3,312",6,5,1
,Palmyra,"3,617",8,7,1
,Park Hills,"8,676",16,15,1
,Parkville,"6,450",18,17,1
,Peculiar,"4,937",10,9,1
,Perry,696,1,1,0
,Perryville,"8,431",30,25,5
,Pevely,"5,682",20,14,6
,Piedmont,"1,976",7,7,0
,Pierce City,"1,277",4,4,0
,Pilot Grove,760,1,1,0
,Pilot Knob,707,2,2,0
,Pineville,784,5,5,0
,Platte City,"4,859",11,10,1
,Platte Woods,403,1,1,0
,Plattsburg,"2,286",6,6,0
,Pleasant Hill,"8,320",20,14,6
,Pleasant Hope,614,1,1,0
,Pleasant Valley,"3,074",15,10,5
,Polo,533,1,1,0
,Poplar Bluff,"17,309",63,48,15
,Potosi,"2,637",10,9,1
,Purdy,"1,103",2,2,0
,Queen City,592,1,1,0
,Qulin,452,1,1,0
,Raymore,"20,600",41,29,12
,Raytown,"29,377",72,53,19
,Republic,"16,219",27,22,5
,Rich Hill,"1,325",3,3,0
,Richland,"1,815",7,6,1
,Richmond,"5,558",13,11,2
,Richmond Heights,"8,466",40,39,1
,Risco,325,1,1,0
,Riverside,"3,192",33,24,9
,Riverview,"2,831",10,10,0
,Rockaway Beach,871,2,2,0
,Rock Hill,"4,648",11,10,1
,Rock Port,"1,217",3,3,0
,Rogersville,"3,436",8,7,1
,Rolla,"20,093",57,35,22
,Salem,"4,998",17,12,5
,Salisbury,"1,550",5,4,1
,Savannah,"5,115",7,6,1
,Scott City,"4,518",17,12,5
,Sedalia,"21,536",64,46,18
,Seligman,838,3,2,1
,Senath,"1,700",3,3,0
,Seneca,"2,409",4,4,0
,Seymour,"1,975",3,3,0
,Shelbina,"1,627",6,5,1
,Shrewsbury,"6,197",22,20,2
,Sikeston,"16,455",75,63,12
,Silex,309,1,1,0
,Slater,"1,827",5,4,1
,Smithville,"9,403",16,16,0
,Southwest City,956,3,3,0
,Sparta,"1,798",1,1,0
,Springfield,"168,307",418,344,74
,St. Ann,"12,925",56,42,14
,St. Charles,"69,364",152,110,42
,Steele,"2,091",5,5,0
,Steelville,"1,711",6,6,0
,Ste. Genevieve,"4,486",10,10,0
,St. James,"4,130",10,9,1
,St. John,"6,454",24,22,2
,St. Joseph,"76,577",169,125,44
,St. Louis,"314,507","1,632","1,194",438
,St. Marys,345,1,1,0
,Stover,"1,070",3,3,0
,St. Peters,"57,835",113,89,24
,Strafford,"2,366",7,7,0
,St. Robert,"6,112",22,16,6
,Sturgeon,914,2,2,0
,Sugar Creek,"3,315",22,17,5
,Sullivan,"7,143",25,18,7
,Summersville,500,2,2,0
,Sunset Hills,"8,548",33,26,7
,Sweet Springs,"1,463",3,3,0
,Tarkio,"1,459",3,3,0
,Thayer,"2,248",11,7,4
,Town and Country,"11,158",32,30,2
,Trenton,"5,874",16,10,6
,Troy,"11,730",26,24,2
,Truesdale,730,1,1,0
,Union,"11,092",25,23,2
,University City,"35,002",96,68,28
,Urbana,405,2,2,0
,Velda City,"1,400",11,10,1
,Verona,601,1,1,0
,Versailles,"2,432",10,10,0
,Viburnum,656,2,2,0
,Vienna,594,1,1,0
,Vinita Park,"1,887",55,53,2
,Walnut Grove,787,3,3,0
,Warrensburg,"20,136",38,35,3
,Warrenton,"8,147",22,20,2
,Warsaw,"2,093",7,7,0
,Warson Woods,"1,957",8,8,0
,Washington,"14,065",33,30,3
,Waverly,819,1,1,0
,Waynesville,"5,467",13,12,1
,Weatherby Lake,"1,872",5,5,0
,Webb City,"11,192",26,22,4
,Webster Groves,"23,216",47,45,2
,Wellsville,"1,138",2,2,0
,Wentzville,"36,938",84,63,21
,West Plains,"12,334",32,28,4
,Wheaton,699,2,2,0
,Willard,"5,485",13,12,1
,Willow Springs,"2,142",7,6,1
,Winfield,"1,439",3,3,0
,Winona,"1,305",8,4,4
,Woodson Terrace,"4,074",19,17,2
,Wright City,"3,511",12,11,1
MONTANA,Baker,"2,063",5,5,0
,Belgrade,"8,146",18,15,3
,Billings,"111,447",176,148,28
,Boulder,"1,213",3,3,0
,Bozeman,"44,739",70,62,8
,Bridger,733,2,2,0
,Chinook,"1,233",4,4,0
,Colstrip,"2,359",11,7,4
,Columbia Falls,"5,175",9,9,0
,Columbus,"2,072",5,4,1
,Conrad,"2,594",5,5,0
,Cut Bank,"3,023",8,7,1
,Deer Lodge,"2,938",7,6,1
,Dillon,"4,224",9,8,1
,East Helena,"2,065",5,5,0
,Ennis,895,1,1,0
,Fort Benton,"1,459",4,4,0
,Fromberg,445,1,1,0
,Glasgow,"3,442",11,8,3
,Glendive,"5,608",13,9,4
,Great Falls,"59,717",130,88,42
,Hamilton,"4,659",15,14,1
,Havre,"9,896",27,21,6
,Helena,"31,052",70,48,22
,Hot Springs,548,2,2,0
,Kalispell,"22,470",48,38,10
,Laurel,"6,986",17,13,4
,Libby,"2,646",6,6,0
,Livingston,"7,364",12,12,0
,Manhattan,"1,656",3,3,0
,Miles City,"8,878",16,16,0
,Missoula,"71,860",130,104,26
,Plains,"1,053",3,3,0
,Polson,"4,744",16,15,1
,Red Lodge,"2,242",7,6,1
,Ronan City,"1,998",5,5,0
,Sidney,"7,190",11,11,0
,Stevensville,"1,940",3,3,0
,Thompson Falls,"1,334",4,4,0
,Troy,876,4,4,0
,West Yellowstone,"1,353",12,6,6
,Whitefish,"7,226",19,16,3
,Wolf Point,"2,901",8,7,1
NEBRASKA,Albion,"1,577",3,3,0
,Alliance,"8,533",21,14,7
,Ashland,"2,577",5,4,1
,Aurora,"4,499",9,8,1
,Bayard,"1,136",4,4,0
,Beatrice,"12,340",35,22,13
,Bellevue,"56,294",108,92,16
,Bennington,"1,712",2,2,0
,Blair,"7,969",19,17,2
,Broken Bow,"3,551",6,5,1
,Central City,"2,876",6,5,1
,Chadron,"5,761",21,15,6
,Columbus,"22,911",49,33,16
,Crete,"7,047",13,12,1
,Emerson,814,2,2,0
,Fairbury,"3,718",7,6,1
,Falls City,"4,173",13,9,4
,Fremont,"26,490",42,37,5
,Gering,"8,297",18,16,2
,Gothenburg,"3,503",6,5,1
,Grand Island,"51,980",102,85,17
,Hastings,"24,872",53,39,14
,Holdrege,"5,575",16,10,6
,Imperial,"2,054",4,4,0
,Kearney,"33,471",69,56,13
,Kimball,"2,388",4,4,0
,La Vista,"16,973",39,34,5
,Lexington,"10,044",23,21,2
,Lincoln,"281,138",465,327,138
,Lyons,808,2,2,0
,Madison,"2,365",4,3,1
,Milford,"2,110",4,4,0
,Minatare,796,2,2,0
,Minden,"3,023",5,5,0
,Mitchell,"1,658",4,4,0
,Neligh,"1,513",3,3,0
,Norfolk,"24,389",57,40,17
,North Platte,"24,092",65,40,25
,Ogallala,"4,538",10,9,1
,Omaha,"446,163",926,798,128
,O'Neill,"3,642",8,7,1
,Ord,"2,051",3,3,0
,Plainview,"1,216",3,3,0
,Plattsmouth,"6,454",17,14,3
,Ralston,"6,003",16,14,2
,Randolph,916,1,1,0
,Schuyler,"6,160",10,8,2
,Scottsbluff,"14,747",35,30,5
,Scribner,844,2,2,0
,Sidney,"6,983",16,14,2
,St. Paul,"2,369",4,4,0
,Superior,"1,869",4,4,0
,Tekamah,"1,727",4,4,0
,Tilden,936,1,1,0
,Valentine,"2,857",6,5,1
,Wahoo,"4,508",6,6,0
,Walthill,776,1,1,0
,Waterloo,"1,086",3,3,0
,Wayne,"5,549",11,7,4
,West Point,"3,367",7,6,1
,Wilber,"1,873",3,3,0
,Wymore,"1,406",3,3,0
,York,"7,885",22,16,6
NEVADA,Boulder City,"15,661",41,30,11
,Carlin,"2,291",7,6,1
,Elko,"20,687",44,37,7
,Fallon,"8,433",33,22,11
,Henderson,"291,584",588,350,238
,Las Vegas Metropolitan Police Department,"1,592,178","4,855","3,326","1,529"
,Lovelock,"1,876",5,4,1
,Mesquite,"17,969",47,34,13
,North Las Vegas,"238,554",414,268,146
,Reno,"244,554",375,311,64
,Sparks,"97,269",156,110,46
,West Wendover,"4,271",23,13,10
,Winnemucca,"7,978",25,22,3
,Yerington,"3,067",6,5,1
NEW HAMPSHIRE,Alexandria,"1,625",2,2,0
,Alstead,"1,911",2,2,0
,Alton,"5,338",14,12,2
,Amherst,"11,272",24,18,6
,Antrim,"2,662",6,5,1
,Ashland,"2,055",5,5,0
,Atkinson,"6,817",7,6,1
,Auburn,"5,368",10,8,2
,Barnstead,"4,615",5,5,0
,Barrington,"8,894",11,10,1
,Bedford,"22,407",47,34,13
,Belmont,"7,315",19,16,3
,Bennington,"1,471",2,2,0
,Berlin,"9,241",31,22,9
,Bethlehem,"2,558",5,5,0
,Boscawen,"3,950",8,7,1
,Bow,"7,779",12,10,2
